DESCRIPTION,FOOD,MEAT,EXISTING_PRODUCT,EXISTING_ID,VALID_PRICE,CREATED,REVIEW_REASON,PHASE2_MATCH
HARINA D TRIGO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DE Negrito,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DE MAIZ,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CREMA DE LECHE,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CARNE DE CERDO EN TIRAS,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Lasaña De Queso,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Lasaña De Pollo,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Pollo Horneado,False,True,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Moro De Habichuela Roja,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
Moro De Habichuela Negra,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACO DE ARROZ AA 125LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACO DE AZUCAR CREMA 125LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACOS DE Habichuelas GIRA 100LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACOS DE Habichuelas ROJAS 100LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACOS DE Habichuelas NEGRAS 100LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
SACO DE HARINA DE TRIGO 50LB Blanquita,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
HARINA DEL Negrito 40/1 425 GR,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CAJA DE LECHE DE COCO 24/1,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CAJA DE LECHE Evaporada 48/1 Carnation,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CAJA DE TUNA EN TROZOS EN ACEITE Vegetal 24/1 CHERRY S. TROZO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CAJA DE Mayonesa C/4 POSTES DE 5LB BALDOM,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
CAJAS DE Mantequilla C4 TARROS DE 5LB,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
FUNDA DE LECHE EN POLVO DE 55LB INCO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
ACEITE Vegetal GL FIGARO,True,False,,,,False,MISSING_VALID_PRICE,NEW_PRODUCT_WITHOUT_PRICE
